Gene,LogFC,Adjusted_PValue
HSP90AB1,2.2300565,2.313294542900673e-98
CALR,2.7337346,3.8265713193511904e-78
HSPA5,3.3334496,1.9921222885667683e-77
GAPDH,1.7412379,3.72165335188954e-72
HSP90AA1,1.6645497,3.8928049823758665e-71
CLIC1,2.5818946,2.0317893964797786e-65
MYL6,1.4777075,3.838031634376062e-63
PSME2,2.3150399,9.754935402518811e-62
CDK2AP2,3.0840447,2.1189523552770797e-58
HSP90B1,2.440737,2.1018962077076912e-57
PFN1,1.4590857,2.7924578754619175e-54
PDIA6,2.611859,3.8296047460683227e-53
SDF2L1,3.076843,1.4916045013322223e-52
TNFRSF4,3.9076984,1.4731765006651905e-50
TUBA1B,2.1967356,1.4731765006651905e-50
ACTG1,1.3485999,1.4343713189893927e-48
PABPC1,-1.3597448,1.382985620347388e-47
TXN,2.0868237,6.720051292511183e-45
PDIA3,2.0698416,6.720051292511183e-45
SLC3A2,2.3835905,1.0733165967521328e-42
TNFRSF18,3.2441785,1.995696337494575e-40
LCP1,1.9585153,2.5476030859500494e-37
TYMP,2.407916,5.2108417662689386e-37
PPP1R14B,2.3714836,1.909852803900332e-36
MANF,2.7451859,9.865359388290002e-34
CD63,2.0899456,4.302380209701146e-32
CTLA4,2.3919537,1.411445974987359e-31
MT2A,1.7719555,3.086172698560926e-31
NDUFV2,1.7521145,3.577362985551611e-31
CD7,1.6357719,1.018022139933963e-28
SELENOK,1.7240074,1.688806189658695e-26
BCL2A1,3.2897668,3.5278238803846484e-26
HSPD1,1.6926385,2.552972613618716e-25
TNFRSF9,4.2965846,4.9250162194700515e-25
SYNE2,-1.9608301,2.8720145417675095e-24
HUWE1,2.4539168,1.36544777191711e-23
HIF1A,2.0590675,3.324480438667754e-23
ISG15,1.8426666,4.256095398275512e-23
CD52,-1.7188901,5.448652061035433e-23
SURF4,2.2795293,5.659017668125896e-23
SELENOS,2.1443992,9.070766114243497e-23
CREM,1.4761848,3.642591527543499e-22
DDX21,1.7533884,4.194645172710197e-22
BATF,1.9302137,7.904179276020042e-22
HSPE1,1.4826516,8.011491428861085e-22
CYP51A1,3.4211001,1.0047047800904079e-21
CD96,2.0291727,1.5479849692727263e-21
STAT1,1.8352876,2.3245614728022587e-21
SNX9,2.445821,1.1682211930379765e-20
NME1,2.5230045,7.293685814919893e-20
FYB1,-1.4705089,9.932893218788928e-20
TUBB4B,1.8674976,8.605807885694491e-19
IFI6,1.9250482,5.024514623125593e-18
GIMAP7,-1.5332654,7.647082352913981e-18
LY6E,1.6185893,9.802395050754055e-18
ABCF1,1.6449764,1.2722355733990628e-17
CCND2,1.7667701,3.4419254940078845e-17
CD74,1.249407,3.4419254940078845e-17
DNAJB11,2.474224,3.622226598603444e-17
IL2RG,1.2704028,4.496190509091162e-17
NFKB1,1.9976467,4.951195116887758e-17
CANX,1.6519372,6.350229972970738e-17
PDCD4,-1.5364681,1.1906100773454747e-16
PLP2,1.5367949,1.3924360784495858e-16
ATP1B3,1.9112352,1.500129674856585e-16
NFKBIA,1.2607074,2.820850518997051e-16
PIK3IP1,-1.8476713,3.3807268999358345e-16
GBP5,1.8524925,3.686118885289453e-16
XBP1,1.8839054,4.574320632734741e-16
PRMT2,-1.5412161,7.193898961952684e-16
LMAN1,1.6852701,8.886962038261416e-16
EIF5B,1.3777982,1.1128728876265474e-15
WARS,2.6036866,1.2137088543206044e-15
CD69,1.426605,2.45551790183852e-15
JUNB,-1.1295426,2.8002732263696375e-15
PBXIP1,-2.081034,3.6539291877424686e-15
BST2,1.5155805,5.250499194936052e-15
GPR183,1.5097094,7.334249012147955e-15
HSPH1,2.454918,3.6538721906033455e-14
NAMPT,1.7549117,9.60869873218324e-14
IL2RB,1.4994011,1.5084663924493976e-13
IL2RA,1.261827,2.701882813548662e-13
GBP2,1.2958755,1.1267231348667043e-12
SAT1,1.2922578,1.4039555236122636e-12
HERPUD1,1.5284692,1.7480795099571364e-12
PMAIP1,2.376209,2.207825100113566e-12
LGALS1,1.7090259,3.124274221000278e-12
MBP,-1.5552238,3.4835752436288e-12
TARS,2.2225938,4.193642952957861e-12
DNAJC3,1.9863672,5.292026329008008e-12
PRDX4,2.5995932,5.7197497913002685e-12
CXCR4,-1.2243476,5.953297139246214e-12
INSIG1,2.6113083,1.8936022209605023e-11
LINC00861,-3.651621,2.126639801540979e-11
EZR,1.1766503,3.130877712272897e-11
RGCC,1.4607112,6.158925885304535e-11
FAS,2.3345044,7.141103681405872e-11
ZFP36L2,-1.29842,1.2863857391494102e-10
SDF4,1.4577801,2.1748030412092538e-10
LINC01943,1.9913062,2.639969614560208e-10
POU2F2,1.5486432,5.586861883151445e-10
BTG2,-1.3795164,5.82186675587283e-10
LIME1,-3.3494036,6.73620488246309e-10
TNFRSF1B,1.0447853,7.103560001315058e-10
SGK1,3.2287693,8.763066383954876e-10
CYTOR,1.477087,8.936005237565254e-10
TPM4,1.3509245,1.3079786868098638e-09
PLAAT4,-1.4113078,1.53553899339573e-09
METRNL,2.8798187,2.153701134681975e-09
IL7R,-1.841636,2.2902864660893975e-09
GIMAP1,-1.9848074,2.338561002395479e-09
RBM17,1.2591387,2.907148347939264e-09
EIF3J,1.231632,3.068462319558963e-09
MX1,1.4524378,4.13951221920014e-09
ACOT9,2.8080168,4.7717668362078094e-09
HIVEP3,3.5717852,7.115830776211336e-09
CORO1B,1.9242505,7.115830776211336e-09
HYOU1,2.8126643,9.966938527669871e-09
SELL,-1.0470958,1.5047153645674152e-08
SH2D2A,1.6289889,1.8917365293660265e-08
GPATCH4,1.6010902,2.0156788149151125e-08
LRRC32,3.1897783,2.1728309869771716e-08
DGKE,1.71337,2.5483130366488785e-08
PIK3R1,-1.4358169,2.5483130366488785e-08
PUM3,1.647393,3.4488965494505297e-08
ANXA2,1.1311513,5.227195484166296e-08
TMCO1,1.037561,1.1935874400954815e-07
GBP1,1.4456749,1.296525819876885e-07
H1FX,-1.076206,1.9476666036456197e-07
ATP6V0B,1.0108391,1.983581135601298e-07
SNHG32,-1.5600647,2.2544377481351616e-07
CAMK4,-1.8711144,3.7663548514664e-07
HMGCS1,2.8039804,3.9282232225126994e-07
LAYN,2.537887,3.9542797671038515e-07
IL10RA,-1.5301865,5.260140280455059e-07
PDE3B,-2.0712569,6.348967023892414e-07
GBP4,1.5040662,7.593336742824364e-07
LINC01089,-2.8650188,1.458770895809236e-06
XAF1,1.0634084,1.588596379692096e-06
PTPN7,1.1268209,1.6750118550673721e-06
RIPOR2,-1.2140706,2.372581931590298e-06
FABP5,1.481301,2.4924422210113344e-06
CRIP1,-1.022597,5.272136890512749e-06
TCF7,-1.3197042,8.184509970534604e-06
FOSL2,2.3031938,1.0111359197714982e-05
EMB,-1.1352272,1.4533875505148752e-05
HDAC7,1.7009971,1.5100609887356339e-05
PIM1,-1.108948,2.1152025607291078e-05
TSC22D3,-1.2018042,2.7926153437044984e-05
ICOS,1.4419123,3.6479832894594325e-05
SATB1,1.1448746,4.277413411877125e-05
ZNF101,-1.8297198,4.741776118382943e-05
EPSTI1,1.4014239,5.407501159590436e-05
SPATS2L,1.8137963,8.001419321997748e-05
RASA3,-2.4872205,8.001419321997748e-05
ADTRP,-1.5038527,9.295165078849383e-05
SORL1,-1.6398141,9.82728235859242e-05
SLC7A5,2.4934125,0.00010114959709731708
CTSC,1.0893489,0.00010114959709731708
SLC1A5,2.638936,0.00011500426882073412
SRPRB,1.8112153,0.00012417557870332636
CD28,1.0854781,0.00013764604524442214
MAGT1,1.9022871,0.0001448029428617552
MIR155HG,1.6773119,0.00016150225543923256
ATP2A2,2.054905,0.00019868253322585512
ZBTB20,-2.0976286,0.00019944242116623896
LPAR6,-4.0459747,0.0002001106681355443
IQGAP2,-1.0386294,0.00021425850147187105
GK,1.7135241,0.000296349363178626
CSGALNACT1,-3.3073752,0.0003203130124976242
IFI35,1.311122,0.0003610756276647825
JUN,-1.1671017,0.00036739599975568597
HLA-DPB1,-1.6219338,0.0003895450947651321
TSPYL2,1.1255867,0.0004485679951757249
IFIT3,1.7443413,0.0005239346887200738
ORMDL2,1.0690501,0.000600876782623514
CDKN2D,-1.7628776,0.0011224341991134931
COA6,1.131749,0.0011455987009403744
SLC43A3,2.5589895,0.0012478018496446038
ARHGAP18,2.7294383,0.0012623936259741962
SAMD9L,1.1841495,0.001872900784937455
CDC14A,1.3685346,0.0020081952018703897
ALG5,1.0471011,0.0020938606134268648
IL21R,1.5073323,0.0024981277996338055
CST7,1.015327,0.0025165553063626264
PCMTD1,-1.719589,0.002747808879390419
ZC3H12D,1.55884,0.0027608312369546257
GPR171,-2.1620927,0.0028787343569740393
ZFP36,-1.4907814,0.0029363252978762645
LTA,1.5407736,0.0029630558558016934
ACTN4,1.0174059,0.0030378785007346394
CDKN1A,1.8270481,0.003102790337730668
NOC3L,1.2413672,0.003250981464794973
ID3,1.4639475,0.003526814000970614
REL,1.0000268,0.003552769269315296
CD55,-2.1048844,0.00369586415274108
SLC25A45,-2.7304122,0.003790246825287988
OTULIN,1.3194317,0.00380532914134186
STAT4,1.2238696,0.00380532914134186
MXI1,-2.0395694,0.00380532914134186
TMX1,1.5486965,0.004817436269865765
THEM4,-1.3528539,0.004864601828536644
CCDC66,-1.2294428,0.005023114949988182
RRBP1,1.1460662,0.0056124751050119865
TRIM25,2.0981088,0.005793534718750501
GABPB1-AS1,-1.2070228,0.006142906977673255
TRIB3,2.6450365,0.006678878666325045
CISD1,1.0171622,0.007904168467214255
IL4I1,2.956732,0.00829545971172515
IL4R,1.0222719,0.008687506343923542
